task,theorem,source_file,proof_found,steps_kind,steps,max_depth,transitive_deps,deps_seed_size,obligations,composer_gt_proof_steps,composer_verdict,deps_error,obligations_error
Allocator/Allocator_AllocateMutex.tla,AllocateMutex,source/Allocator/Allocator.tla,True,Structured,25,2,4,4,79,25,FAIL,,
Allocator/Allocator_AllocateTypeInvariant.tla,AllocateTypeInvariant,source/Allocator/Allocator.tla,True,Direct,0,0,3,2,1,0,PASS,,
Allocator/Allocator_InitMutex.tla,InitMutex,source/Allocator/Allocator.tla,True,Direct,0,0,2,2,1,0,PASS,,
Allocator/Allocator_InitTypeInvariant.tla,InitTypeInvariant,source/Allocator/Allocator.tla,True,Direct,0,0,2,2,1,0,PASS,,
Allocator/Allocator_NextMutex.tla,NextMutex,source/Allocator/Allocator.tla,True,Direct,0,0,10,4,4,0,PASS,,
Allocator/Allocator_NextTypeInvariant.tla,NextTypeInvariant,source/Allocator/Allocator.tla,True,Structured,4,2,9,4,10,4,PASS,,
Allocator/Allocator_RequestMutexBis.tla,RequestMutexBis,source/Allocator/Allocator.tla,True,Direct,0,0,2,2,1,0,PASS,,
Allocator/Allocator_RequestTypeInvariant.tla,RequestTypeInvariant,source/Allocator/Allocator.tla,True,Direct,0,0,2,2,1,0,PASS,,
Allocator/Allocator_ReturnMutex.tla,ReturnMutex,source/Allocator/Allocator.tla,True,Structured,4,1,3,3,9,4,PASS,,
Allocator/Allocator_ReturnTypeInvariant.tla,ReturnTypeInvariant,source/Allocator/Allocator.tla,True,Direct,0,0,2,2,1,0,PASS,,
AtomicBakery/AtomicBakeryWithoutSMT_AfterPrime.tla,AfterPrime,source/AtomicBakery/AtomicBakeryWithoutSMT.tla,True,Direct,0,0,2,2,1,0,FAIL,,
AtomicBakery/AtomicBakeryWithoutSMT_GGIrreflexive.tla,GGIrreflexive,source/AtomicBakery/AtomicBakeryWithoutSMT.tla,True,Structured,8,2,4,7,23,8,FAIL,,
AtomicBakery/AtomicBakeryWithoutSMT_InductiveInvariant.tla,InductiveInvariant,source/AtomicBakery/AtomicBakeryWithoutSMT.tla,True,Structured,137,9,26,32,248,137,FAIL,,
AtomicBakery/AtomicBakeryWithoutSMT_InitImpliesTypeOK.tla,InitImpliesTypeOK,source/AtomicBakery/AtomicBakeryWithoutSMT.tla,True,Structured,5,1,2,2,9,5,FAIL,,
AtomicBakery/AtomicBakeryWithoutSMT_InitInv.tla,InitInv,source/AtomicBakery/AtomicBakeryWithoutSMT.tla,True,Direct,0,0,7,4,2,0,FAIL,,
AtomicBakery/AtomicBakeryWithoutSMT_InvExclusion.tla,InvExclusion,source/AtomicBakery/AtomicBakeryWithoutSMT.tla,True,Direct,0,0,6,4,1,0,FAIL,,
AtomicBakery/AtomicBakeryWithoutSMT_Safety.tla,Safety,source/AtomicBakery/AtomicBakeryWithoutSMT.tla,True,Structured,2,1,33,10,7,2,FAIL,,
AtomicBakery/AtomicBakeryWithoutSMT_TypeOKInvariant.tla,TypeOKInvariant,source/AtomicBakery/AtomicBakeryWithoutSMT.tla,True,Structured,21,3,13,15,49,21,FAIL,,
BubbleSort/BubbleSort_CompositionAssociative.tla,CompositionAssociative,source/BubbleSort/BubbleSort.tla,True,Direct,0,0,0,0,2,0,PASS,,
BubbleSort/BubbleSort_CompositionOfPerms.tla,CompositionOfPerms,source/BubbleSort/BubbleSort.tla,True,Direct,0,0,1,1,1,0,PASS,,
BubbleSort/BubbleSort_ExchangeAPerm.tla,ExchangeAPerm,source/BubbleSort/BubbleSort.tla,True,Direct,0,0,3,3,2,0,PASS,,
